chunk_id,text,document_name,page_number,total_pages
Chapter 1.pdf_p1_c0,"Object-Oriented and Classical Software Engineering Eighth Edition, WCB/McGraw-Hill Stephen R. Schach",Chapter 1.pdf,1,50
Chapter 1.pdf_p2_c0,CHAPTER 1 THE SCOPE OF SOFTWARE ENGINEERING,Chapter 1.pdf,2,50
Chapter 1.pdf_p3_c0,"Introduction • What is software engineering? – Software engineering is a discipline whose aim is the production of fault-free software, delivered on time and within budget, that satisfies the client’s needs. • Why is software engineering important? – Examples",Chapter 1.pdf,3,50
Chapter 1.pdf_p4_c0,"1.1 Historical Aspects • Term software engineering was coined in 1967 by NATO study group. • Software crisis (see next slide) • It is clear that far too little software is delivered on time, within budget, fault free and meeting its client’s needs. • To achieve these goals, the software engineer should acquire a broad range of technical and managerial skills.",Chapter 1.pdf,4,50
Chapter 1.pdf_p5_c0,1.1 Historical Aspects (continue)  Data on projects completed in 2006 Figure 1.1,Chapter 1.pdf,5,50
Chapter 1.pdf_p6_c0,1.2 Economic Aspects • Coding method CMnew is 10% faster than currently used method CMold. Should it be used? • Common sense answer – Of course! • Software Engineering answer – Consider the cost of training – Consider the impact of introducing a new technology – Consider the effect of CMnew on maintenance,Chapter 1.pdf,6,50
Chapter 1.pdf_p7_c0,1.3 Maintenance Aspects Figure 1.2 • Until 1970s most companies used the waterfall model for producing software.,Chapter 1.pdf,7,50
Chapter 1.pdf_p8_c0,1.3 Maintenance Aspects (continue) • Requirements phase – Explore the concept – Elicit the client’s requirements • Analysis (specification) phase – Analyze the client’s requirements – Draw up the specification document – Draw up the software project management plan – “What the product is supposed to do”,Chapter 1.pdf,8,50
Chapter 1.pdf_p9_c0,"1.3 Maintenance Aspects (continue) • Design phase – Architectural design, followed by – Detailed design – “How the product does it” • Implementation phase – Coding – Unit testing – Integration – Acceptance testing",Chapter 1.pdf,9,50
Chapter 1.pdf_p10_c0,"1.3 Maintenance Aspects (continue) • Postdelivery maintenance – Corrective maintenance – Perfective maintenance – Adaptive maintenance – Preventive maintenance: Updating the software to prevent potential future issues, making the system more robust and error-free. • Retirement – Product is removed from service. – Happens when the functionality provided by product no longer is of any use to the client organisation.",Chapter 1.pdf,10,50
Chapter 1.pdf_p11_c0,1.3.1 Classical and Modern Views of Maintenance • Classical view of maintenance – In the 1970s - Development-then- maintenance model. • This is a temporal definition – Classification as development or maintenance depends on when an activity is performed. – Any faults detected and corrected before installation constitutes development. – Any faults detected and corrected after installation constitutes maintenance.,Chapter 1.pdf,11,50
Chapter 1.pdf_p12_c0,"Modern Maintenance Definition • In 1995, the International Standards Organization and International Electrotechnical Commission defined maintenance operationally. • Maintenance is nowadays defined as – The process that occurs when software undergoes modification to code and associated documentation due to a problem or the need for improvement or adaptation.",Chapter 1.pdf,12,50
Chapter 1.pdf_p13_c0,Modern Maintenance Definition (contd) • In terms of the ISO/IEC definition – Maintenance occurs whenever software is modified – Regardless of whether this takes place before or after installation of the software product • The ISO/IEC definition has also been adopted by IEEE and EIA .,Chapter 1.pdf,13,50
Chapter 1.pdf_p14_c0,"Maintenance Terminology in This Book • Postdelivery maintenance – Changes after delivery and installation [IEEE 1990] • Modern maintenance (or just maintenance) – Corrective, perfective, or adaptive maintenance performed at any time [ISO/IEC 1995, IEEE/EIA 1998]",Chapter 1.pdf,14,50
Chapter 1.pdf_p15_c0,"1.3.2 The Importance of Postdelivery Maintenance • Bad software is discarded • Good software is maintained, for 10, 20 years or more • Software is a model of reality, which is constantly changing",Chapter 1.pdf,15,50
Chapter 1.pdf_p16_c0,Time (= Cost) of Postdelivery Maintenance (a) Between 1976 and 1981 (b) Between 1992 and 1998 Figure 1.3,Chapter 1.pdf,16,50
Chapter 1.pdf_p17_c0,"Challenges of post-delivery maintenance • Complexity and Integration: The software is already integrated and deployed. Fixing a fault at this stage often requires understanding and modifying a complex, interdependent system, which is more time-consuming and error-prone. • Testing and Verification: After fixing a fault, extensive testing is required to ensure the fix does not introduce new issues or regressions. This testing is more extensive compared to earlier phases because the software is already in use,",Chapter 1.pdf,17,50
Chapter 1.pdf_p17_c1,"testing is more extensive compared to earlier phases because the software is already in use, and any change can have widespread implications. • Documentation and Communication: By the time the software reaches the postdelivery stage, the original team members who designed or developed the software might have moved on. This means additional time and effort are required to understand the existing system, which includes reviewing documentation and possibly communicating with various stakeholders. • User Impact",Chapter 1.pdf,17,50
Chapter 1.pdf_p17_c2,"existing system, which includes reviewing documentation and possibly communicating with various stakeholders. • User Impact and Downtime: Fixing faults in deployed software can lead to downtime, which impacts users and can lead to financial losses. • Deployment Costs: Once a fault is corrected, the updated software needs to be redeployed, which involves additional resources and time.",Chapter 1.pdf,17,50
Chapter 1.pdf_p18_c0,"1.4 Requirements, Analysis, and Design Aspects • Software professionals are human and therefore sometimes make a mistake while developing a product. • As a result, there will be a fault in the software. • However, the earlier we detect and correct a fault, the less it costs us.",Chapter 1.pdf,18,50
Chapter 1.pdf_p19_c0,"Requirements, Analysis, and Design Aspects (contd) Figure 1.5 The cost of detecting and correcting a fault at each phase",Chapter 1.pdf,19,50
Chapter 1.pdf_p20_c0,"Requirements, Analysis, and Design Aspects (contd) • The previous figure redrawn on a linear scale Figure 1.6",Chapter 1.pdf,20,50
Chapter 1.pdf_p21_c0,"Requirements, Analysis, and Design Aspects (contd) • To correct a fault early in the life cycle – Usually just a document needs to be changed • To correct a fault late in the life cycle – Change the code and the documentation – Test the change itself – Perform regression testing – Reinstall the product on the client’s computer(s)",Chapter 1.pdf,21,50
Chapter 1.pdf_p22_c0,"Requirements, Analysis, and Design Aspects (contd) • Conclusion: – It is vital to improve our requirements, analysis, and design techniques • To find faults as early as possible • To reduce the overall number of faults (and, hence, the overall cost)",Chapter 1.pdf,22,50
Chapter 1.pdf_p23_c0,1.5 Team Programming Aspects • Hardware is cheap – We can build products that are too large to be written by one person in the available time • Software is built by teams – Interfacing problems between modules – Communication problems among team members,Chapter 1.pdf,23,50
Chapter 1.pdf_p24_c0,1.6 Why There Is No Planning Phase • We cannot plan at the beginning of the project —we do not yet know exactly what is to be built,Chapter 1.pdf,24,50
Chapter 1.pdf_p25_c0,Why There Is No Planning Phase • Planning Activities: – Preliminary planning of the requirements and analysis phases at the start of the project – The software project management plan is drawn up when the specifications have been signed off by the client – Management needs to monitor the SPMP throughout the rest of the project,Chapter 1.pdf,25,50
Chapter 1.pdf_p26_c0,Why There Is No Planning Phase • Conclusion: – Planning activities are carried out throughout the life cycle – There is no separate planning phase,Chapter 1.pdf,26,50
Chapter 1.pdf_p27_c0,1.7 Why There Is No Testing Phase • It is far too late to test after development and before delivery,Chapter 1.pdf,27,50
Chapter 1.pdf_p28_c0,Why There Is No Testing Phase • Testing Activities: – Verification • Testing at the end of each phase (too late) – Validation • Testing at the end of the project (far too late),Chapter 1.pdf,28,50
Chapter 1.pdf_p29_c0,"Why There Is No Testing Phase • Conclusion: – Continual testing activities must be carried out throughout the life cycle – This testing is the responsibility of • Every software professional, and • The software quality assurance group – There is no separate testing phase",Chapter 1.pdf,29,50
Chapter 1.pdf_p30_c0,1.8 Why There Is No Documentation Phase • It is far too late to document after development and before delivery,Chapter 1.pdf,30,50
Chapter 1.pdf_p31_c0,"Why There Is No Documentation Phase • Documentation Must Always be Current, because: – Key individuals may leave before the documentation is complete – We cannot perform a phase without having the documentation of the previous phase – We cannot test without documentation – We cannot maintain without documentation",Chapter 1.pdf,31,50
Chapter 1.pdf_p32_c0,Why There Is No Documentation Phase • Conclusion: – Documentation activities must be performed in parallel with all other development and maintenance activities – There is no separate documentation phase,Chapter 1.pdf,32,50
Chapter 1.pdf_p33_c0,"1.9 The Object-Oriented Paradigm • The structured paradigm was successful initially, but as time passed proved to be less successful in two respects: – It started to fail with larger products (> 50,000 LOC) – It did not live up to earlier expectations during postdelivery maintenance (today, 70 to 80% of total effort) • Reason: Structured methods are – Action oriented (e.g., finite state machines, data flow diagrams); or – Data oriented (e.g., entity-relationship diagrams,",Chapter 1.pdf,33,50
Chapter 1.pdf_p33_c1,"oriented (e.g., finite state machines, data flow diagrams); or – Data oriented (e.g., entity-relationship diagrams, Jackson’s method); – But not both",Chapter 1.pdf,33,50
Chapter 1.pdf_p34_c0,"The Object-Oriented Paradigm (contd) • Both data and actions are of equal importance • Object: – A software component that incorporates both data and the actions that are performed on that data • Example: – Bank account • Data: account balance • Actions: deposit, withdraw, determine balance",Chapter 1.pdf,34,50
Chapter 1.pdf_p35_c0,"Structured versus Object- Oriented Paradigm • Information hiding • Responsibility-driven design • Impact on maintenance, development Figure 1.7",Chapter 1.pdf,35,50
Chapter 1.pdf_p36_c0,Information Hiding • In the object-oriented version – The solid line around accountBalance denotes that outside the object there is no knowledge of how accountBalance is implemented • In the classical version – All the modules have details of the implementation of account_balance,Chapter 1.pdf,36,50
Chapter 1.pdf_p37_c0,"Strengths of the Object- Oriented Paradigm • With information hiding, postdelivery maintenance is safer – The chances of a regression fault are reduced • Development is easier – Objects generally have physical counterparts – This simplifies modeling (a key aspect of the object-oriented paradigm)",Chapter 1.pdf,37,50
Chapter 1.pdf_p38_c0,Strengths of the Object-Oriented Paradigm (contd) • Well-designed objects are independent units – Everything that relates to the real-world item being modeled is in the corresponding object — encapsulation – Communication is by sending messages – This independence is enhanced by responsibility-driven design (see later),Chapter 1.pdf,38,50
Chapter 1.pdf_p39_c0,Strengths of the Object-Oriented Paradigm (contd) • A classical product conceptually consists of a single unit (although it is implemented as a set of modules) – The object-oriented paradigm reduces complexity because the product generally consists of independent units • The object-oriented paradigm promotes reuse – Objects are independent entities,Chapter 1.pdf,39,50
Chapter 1.pdf_p40_c0,Responsibility-Driven Design • Also called design by contract • Send flowers to your mother in Chicago – Call 1-800-flowers – Where is 1-800-flowers? – Which Chicago florist does the delivery? – Information hiding – Send a message to a method [action] of an object without knowing the internal structure of the object,Chapter 1.pdf,40,50
Chapter 1.pdf_p41_c0,Classical Phases vs Object- Oriented Workflows • There is no correspondence between phases and workflows Figure 1.8,Chapter 1.pdf,41,50
Chapter 1.pdf_p42_c0,Analysis/Design “Hump” • Structured paradigm: – There is a jolt between analysis (what) and design (how) • Object-oriented paradigm: – Objects enter from the very beginning,Chapter 1.pdf,42,50
Chapter 1.pdf_p43_c0,Analysis/Design “Hump” (contd) • In the classical paradigm – Classical analysis • Determine what has to be done – Design • Determine how to do it • Architectural design — determine the modules • Detailed design — design each module,Chapter 1.pdf,43,50
Chapter 1.pdf_p44_c0,Removing the “Hump” • In the object-oriented paradigm – Object-oriented analysis • Determine what has to be done • Determine the objects – Object-oriented design • Determine how to do it • Design the objects • The difference between the two paradigms is shown on the next slide,Chapter 1.pdf,44,50
Chapter 1.pdf_p45_c0,In More Detail • Objects enter here Figure 1.9,Chapter 1.pdf,45,50
Chapter 1.pdf_p46_c0,"1.11 Terminology • Client, developer, user • Internal software • Contract software • Commercial off-the-shelf (COTS) software – Clickware • Open-source software",Chapter 1.pdf,46,50
Chapter 1.pdf_p47_c0,"Terminology (contd) • Software • Program, system, product • Methodology, paradigm – Object-oriented paradigm – Classical (traditional) paradigm • Technique",Chapter 1.pdf,47,50
